9147936751484928;598168685248512;14400;2305843018877370368;4503601774854144;2305845208236949504;288234782788174848;9095435063132160;262208;563087394472960;9367628237297156096;9007199523177216;43980465111040;16777216;18014399591612416;9232520265655648256;negative
2314990945956790272;562984313159680;10312;4503608217305088;2147483650;2305845208236949504;288234782788174848;88235841945600;2251868533424192;844570961118208;9367627962419249152;9007199254741760;43980465111040;9007199271534592;171136786922209280;10385441753351127040;negative
9147936744144896;562984313159680;2107456;8589934592;2147484736;2308097008050634752;864695536165340160;88235808391168;262208;563087394472448;9367627962553466912;9007199254741760;8796093022208;16777256;162129862545375232;9237023848908456000;negative
81205530781024256;562992903094272;1152921504606857280;8589934656;2147483648;6917531226664337408;289360682695017472;88235808391168;262208;563087394996224;9367628001073954818;9218305487274752;8796093022208;20972544;162129587801686016;9232520248744247296;negative
1266637403586576;562984447377408;68719477760;5638304217169984;576460754455101448;2293529313280;8598324224;36046664116469762;2251868533161984;2097168;9367487224931942400;72057599406637824;42949939200;16793600;162129586618892320;9232520248811388928;negative
9367629061930614784;562984314210304;0;8589942817;4949951906816;2305845208304058369;288230934497494016;2305931279383658496;288300744962998784;137441051648;9367698331168153600;768;35184372088832;83886080;18014948533731328;9223796723757875208;negative
9147936743096324;703721801515008;43588;8590000132;288230378299195392;2305845225416818688;288235057666081792;88235808391184;262208;5084279207886848;9385642360928731136;9007199254741760;612502743461920768;4311744512;22517999235760128;13844206267976908800;negative
2306968909137313792;0;68719485952;4503599627370560;576460752303423500;17179870208;18019071442321408;36063981391052800;550829555712;9223372036854776848;140737489403904;4611686087146864644;1152956688979202048;9007199254740992;144115188109410304;288230651298054432;positive
1125899923619840;0;68719485952;4503599627370560;576460752303423500;17179870208;594479823745744896;36028797018964032;69793218816;9223372036854775824;1048576;4611686087146864640;1152921504875548672;32;144150372481499136;4503874775810144;negative
17179869185;1161084279196672;67108928;8192;576461027183427584;17592186044416;558345814016;36028797035741184;1154047404513738752;2306968913416553488;2305843011362226176;0;9227875636482412544;2304;144115188075855873;153122456318509056;negative
2305983746702049280;562984313159680;8;4503608217305088;2155872266;2199025352720;8589935616;17867097505792;2251868533293056;282033325081600;9367487224930893824;768;35184372089088;9007199271534592;171136785840078848;10376434279218479104;negative
1;145276272354790400;64;324259173170683904;576460769485389824;0;549755817984;108086391056908288;1154047404517982208;2310347162892895248;274878959616;8796093022208;9227880171967877120;2048;144115188075856896;144115188344291328;negative
